date,channel,spend,clicks,impressions
2018-01-01,google_ads,15000.00,12500,450000
2018-01-01,facebook_ads,9800.50,8900,620000
2018-01-01,email,1200.00,3400,89000
2018-01-01,affiliates,4500.00,2100,45000
2018-02-01,google_ads,16200.00,13100,470000
2018-02-01,facebook_ads,10100.00,9200,640000
2018-02-01,email,1150.00,3200,85000
2018-02-01,affiliates,4800.00,2300,48000
2018-03-01,google_ads,17500.00,14000,495000
01/03/2018,facebook_ads,10500.00,9500,655000
2018-03-01,email,,3100,83000
2018-03-01,affiliates,5100.00,2400,50000
2018-04-01,Google Ads,18100.00,14600,510000
2018-04-01,facebook_ads,11200.00,10100,680000
2018-04-01,email ,1300.00,3600,91000
2018-04-01,affiliates,-5300.00,2500,52000
2018-05-01,google_ads,19000.00,15200,530000
2018-05-01,facebok_ads,11800.00,10600,700000
2018-05-01,email,1420.00,3800,95000
2018-05-01,affiliates,5600.00,2700,55000
2018-06-01,google_ads,"20500,00",16000,560000
2018-06-01,facebook_ads,12400.00,11200,730000
2018-06-01,email,1500.00,4000,99000
2018-06-01,affiliates,5900.00,2800,58000
2018-06-01,affiliates,5900.00,2800,58000
